Model,k_fold,Stratyfikacja,Bins,Acc,Prec,Rec,Fsc
Gaussian,2,True,0,0.5280373831775701,0.6664958661962087,0.1844230751882073,0.2861637642168651
Gaussian,2,False,0,0.5093457943925234,0.5964371781101104,0.17534633886054196,0.3703856375242805
Gaussian,5,True,0,0.5001107419712069,0.5598306961237997,0.16642912498271,0.3634440864062553
Gaussian,5,False,0,0.45769656699889283,0.5304347826086957,0.1440478397500807,0.33861117585267103
Gaussian,10,True,0,0.4625541125541121,0.5637713675213675,0.1466268916268916,0.36240659684686466
Gaussian,10,False,0,0.4562770562770557,0.5582484876234876,0.14354125041625038,0.38768728582690404
KMeansPartitioning,2,True,5,0.6308411214953272,0.6219610125860126,0.2275747193966642,0.3813400127240493
KMeansPartitioning,2,False,5,0.616822429906542,0.526212799570392,0.2198629763803548,0.44847949841215895
KMeansPartitioning,5,True,5,0.6493909191583611,0.6252611984964925,0.24691667849781326,0.4456884075714
KMeansPartitioning,5,False,5,0.6398671096345515,0.626415156767324,0.23831259363470964,0.39793234116136317
KMeansPartitioning,10,True,5,0.6629870129870138,0.7296164021164022,0.25716561216561207,0.38940200580293466
KMeansPartitioning,10,False,5,0.663203463203464,0.6861111111111112,0.25718822571763744,0.45793786322037094
KMeansPartitioning,2,True,7,0.6775700934579438,0.6753057353039419,0.26732926774236787,0.33208002651721663
KMeansPartitioning,2,False,7,0.663551401869159,0.6607398712634815,0.2536495055168811,0.39799315920547546
KMeansPartitioning,5,True,7,0.6359911406423031,0.6322672013229288,0.23651654949423823,0.4309676740953572
KMeansPartitioning,5,False,7,0.6681063122923586,0.6763227891246467,0.25495523532170455,0.4140456335120812
KMeansPartitioning,10,True,7,0.6677489177489178,0.7303764753764757,0.25666477041477037,0.39752396667560197
KMeansPartitioning,10,False,7,0.6642857142857146,0.7168981481481481,0.2528541366041365,0.43970966333188705
KMeansPartitioning,2,True,10,0.6448598130841122,0.5837903150759923,0.2383419864403623,0.37282422438672436
KMeansPartitioning,2,False,10,0.6542056074766357,0.6429468459506006,0.2432600147673677,0.3687610109532959
KMeansPartitioning,5,True,10,0.6867109634551493,0.7248020361990952,0.27170926023867203,0.39963888575443557
KMeansPartitioning,5,False,10,0.6400885935769658,0.6724463937621833,0.23167187127545175,0.3782630960104827
KMeansPartitioning,10,True,10,0.6777056277056276,0.7866017316017316,0.26485930735930735,0.3475707077293764
KMeansPartitioning,10,False,10,0.6712121212121217,0.7439499158249159,0.2589160839160839,0.40935125274908557
EqualWidthPartitioning,2,True,5,0.6261682242990655,0.5559027133843536,0.22520268630822438,0.35655246648760425
EqualWidthPartitioning,2,False,5,0.6401869158878505,0.563729462313891,0.2335634731951843,0.36522215890197113
EqualWidthPartitioning,5,True,5,0.6400885935769658,0.7060564054681702,0.23775072627576327,0.35555097348441006
EqualWidthPartitioning,5,False,5,0.6256921373200445,0.6924822854042803,0.22991899190781945,0.34758154409254377
EqualWidthPartitioning,10,True,5,0.6300865800865804,0.710281477781478,0.23791712916712912,0.40495331774709886
EqualWidthPartitioning,10,False,5,0.6181818181818188,0.6546408221408222,0.21918854293854287,0.42920789337061144
EqualWidthPartitioning,2,True,7,0.6588785046728972,0.6053023357585715,0.24610491730056946,0.37596885546738984
EqualWidthPartitioning,2,False,7,0.6168224299065421,0.6126789756993273,0.22564337945978488,0.3549517131177026
EqualWidthPartitioning,5,True,7,0.6069767441860464,0.6638512316143894,0.2254141096452758,0.4042407208411511
EqualWidthPartitioning,5,False,7,0.6217054263565891,0.6679922405994219,0.2246790147305022,0.4013971405679886
EqualWidthPartitioning,10,True,7,0.6357142857142856,0.7404533429533429,0.2367174954674955,0.3651902718311387
EqualWidthPartitioning,10,False,7,0.616233766233767,0.6975396362896364,0.21710863210863213,0.37150615283123034
EqualWidthPartitioning,2,True,10,0.6448598130841121,0.8084119577043385,0.24436966898694976,0.28218841707206105
EqualWidthPartitioning,2,False,10,0.6261682242990653,0.7991376678876679,0.23186704485484974,0.26118600757776017
EqualWidthPartitioning,5,True,10,0.6499446290143961,0.7371630197972908,0.24457575348055222,0.3860847982765017
EqualWidthPartitioning,5,False,10,0.6264673311184936,0.7283325205925826,0.22725199909023439,0.3337370713580878
EqualWidthPartitioning,10,True,10,0.6443722943722945,0.7685834535834535,0.24665982165982164,0.3722684423419717
EqualWidthPartitioning,10,False,10,0.6209956709956718,0.7297130647130649,0.22645858770858768,0.3743736528249922
EqualDepthPartitioning,2,True,5,0.5794392523364487,0.5848634128557728,0.20652746553389897,0.3309760899559048
EqualDepthPartitioning,2,False,5,0.6121495327102803,0.7297341641970797,0.2213327196912802,0.2567316360744361
EqualDepthPartitioning,5,True,5,0.6312292358803986,0.7306096327419858,0.2372634380670455,0.34706074696285566
EqualDepthPartitioning,5,False,5,0.6307862679955701,0.7302309733037287,0.23970933163270622,0.3761082731798844
EqualDepthPartitioning,10,True,5,0.6248917748917755,0.7721536796536798,0.23485144485144488,0.34076872903498284
EqualDepthPartitioning,10,False,5,0.6354978354978359,0.7919537407037408,0.24096010471010473,0.32615311588995793
EqualDepthPartitioning,2,True,7,0.6261682242990655,0.8494918324735937,0.2357653197547104,0.26160627399394115
EqualDepthPartitioning,2,False,7,0.5934579439252338,0.8207765048190581,0.21407280176664104,0.243226999051009
EqualDepthPartitioning,5,True,7,0.5981173864894792,0.8060477362334948,0.2210816274456065,0.28204188445837514
EqualDepthPartitioning,5,False,7,0.6118493909191581,0.8085672514619883,0.22799461331582074,0.28945052586931763
EqualDepthPartitioning,10,True,7,0.6017316017316026,0.8137186424686426,0.22583569208569212,0.2893360456479652
EqualDepthPartitioning,10,False,7,0.6064935064935074,0.7887468169085816,0.21969544344544342,0.3117600690885005
EqualDepthPartitioning,2,True,10,0.6121495327102805,0.842976998076443,0.2241122920289587,0.24923438271375367
EqualDepthPartitioning,2,False,10,0.602803738317757,0.8411000953750611,0.2205564655427493,0.24397434610283394
EqualDepthPartitioning,5,True,10,0.607530454042082,0.8452800922162546,0.22375647228588408,0.24690706279617702
EqualDepthPartitioning,5,False,10,0.5894795127353265,0.8454229063277051,0.22193459753753872,0.23806518469224344
EqualDepthPartitioning,10,True,10,0.6019480519480523,0.8470263995263996,0.2220574333074333,0.24286262235144995
EqualDepthPartitioning,10,False,10,0.5753246753246753,0.8309974747474748,0.2100388037888038,0.22327026716289525
