Model,k_fold,Stratyfikacja,Bins,Acc,Prec,Rec,Fsc
Gaussian,2,True,0,0.9533333333333333,0.9544701474049301,0.912487684729064,0.9315029538128212
Gaussian,2,False,0,0.96,0.9578869047619047,0.9242921419929134,0.9396316592195428
Gaussian,5,True,0,0.9533333333333334,0.9573737373737373,0.9129292929292931,0.9315035062403484
Gaussian,5,False,0,0.9600000000000001,0.960797720797721,0.9246464646464645,0.938569828948615
Gaussian,10,True,0,0.9466666666666668,0.9549206349206348,0.9053968253968255,0.9226094276094277
Gaussian,10,False,0,0.9533333333333335,0.956904761904762,0.9196031746031746,0.9298930698930701
KMeansPartitioning,2,True,5,0.96,0.9623778998778999,0.9242857142857143,0.9410518121339263
KMeansPartitioning,2,False,5,0.92,0.92435127133403,0.8670402178466695,0.8849099607423807
KMeansPartitioning,5,True,5,0.9400000000000001,0.9545454545454545,0.8945454545454546,0.9118665350244298
KMeansPartitioning,5,False,5,0.9600000000000002,0.9597371147371149,0.9251437451437454,0.9400984726774201
KMeansPartitioning,10,True,5,0.9600000000000002,0.966031746031746,0.9298412698412698,0.942138047138047
KMeansPartitioning,10,False,5,0.9600000000000002,0.9670634920634921,0.9087962962962964,0.925957009393542
KMeansPartitioning,2,True,7,0.9266666666666666,0.9284199134199134,0.867219827586207,0.8936845444118645
KMeansPartitioning,2,False,7,0.9533333333333333,0.9543033509700177,0.9112771189384093,0.93078797988486
KMeansPartitioning,5,True,7,0.9466666666666669,0.9554978354978354,0.9043867243867243,0.92200121515911
KMeansPartitioning,5,False,7,0.9600000000000001,0.9674925074925075,0.9171661671661673,0.9382536615854696
KMeansPartitioning,10,True,7,0.9533333333333334,0.9561111111111111,0.9201984126984127,0.9336881636881638
KMeansPartitioning,10,False,7,0.9600000000000002,0.9596031746031747,0.9193121693121694,0.9307842484313074
KMeansPartitioning,2,True,10,0.9466666666666668,0.9490231990231991,0.901031746031746,0.9219955904457086
KMeansPartitioning,2,False,10,0.9666666666666667,0.9690185676392574,0.9344895695702148,0.95015430733697
KMeansPartitioning,5,True,10,0.9466666666666668,0.9511784511784512,0.901989121989122,0.9221516681470914
KMeansPartitioning,5,False,10,0.9600000000000001,0.9583838383838383,0.9266041366041365,0.9399666543454404
KMeansPartitioning,10,True,10,0.9533333333333334,0.9642857142857142,0.9176190476190478,0.9318181818181818
KMeansPartitioning,10,False,10,0.9533333333333334,0.9501984126984128,0.9098148148148149,0.9239021164021165
EqualWidthPartitioning,2,True,5,0.94,0.9455555555555556,0.8892337164750957,0.9121661054994389
EqualWidthPartitioning,2,False,5,0.9533333333333333,0.9561904761904761,0.9137483684897477,0.9315029538128212
EqualWidthPartitioning,5,True,5,0.9600000000000002,0.9622895622895623,0.9264335664335666,0.9416802876757112
EqualWidthPartitioning,5,False,5,0.9666666666666667,0.9686260036260036,0.9334078884078884,0.9488274863761859
EqualWidthPartitioning,10,True,5,0.9666666666666667,0.97,0.9404761904761905,0.9518181818181819
EqualWidthPartitioning,10,False,5,0.9533333333333334,0.945515873015873,0.9125793650793651,0.9215962448857187
EqualWidthPartitioning,2,True,7,0.9533333333333335,0.9552813852813852,0.9132098765432098,0.9316511282107428
EqualWidthPartitioning,2,False,7,0.9266666666666666,0.9268722943722943,0.8616025445735591,0.889909658245101
EqualWidthPartitioning,5,True,7,0.9733333333333334,0.9745454545454546,0.9501010101010101,0.9608901040479988
EqualWidthPartitioning,5,False,7,0.9600000000000002,0.9664814814814815,0.9181695156695157,0.9354901960784313
EqualWidthPartitioning,10,True,7,0.9666666666666668,0.9700000000000001,0.9404761904761905,0.951818181818182
EqualWidthPartitioning,10,False,7,0.9666666666666668,0.9691269841269841,0.938531746031746,0.9501319051319052
EqualWidthPartitioning,2,True,10,0.9466666666666667,0.9486763236763237,0.9037980769230769,0.9227595818342409
EqualWidthPartitioning,2,False,10,0.96,0.9594939372419055,0.9227966477966478,0.9398458585154139
EqualWidthPartitioning,5,True,10,0.9600000000000001,0.9664335664335664,0.9264335664335664,0.9412700549327283
EqualWidthPartitioning,5,False,10,0.9600000000000002,0.9642890442890443,0.9290909090909092,0.9414478114478114
EqualWidthPartitioning,10,True,10,0.9666666666666668,0.9722222222222221,0.9388888888888889,0.9511784511784513
EqualWidthPartitioning,10,False,10,0.9533333333333335,0.9301587301587302,0.920079365079365,0.9005505313400052
EqualDepthPartitioning,2,True,5,0.8866666666666667,0.8979343413610655,0.8034826762246118,0.8370311617760257
EqualDepthPartitioning,2,False,5,0.88,0.8881673881673882,0.7934952527343831,0.8285872098915577
EqualDepthPartitioning,5,True,5,0.9333333333333335,0.9345454545454545,0.8831168831168832,0.9047284878863825
EqualDepthPartitioning,5,False,5,0.9066666666666668,0.9026495726495727,0.8442083842083842,0.8620806970806972
EqualDepthPartitioning,10,True,5,0.9200000000000003,0.9257142857142858,0.8681481481481483,0.8874506974506976
EqualDepthPartitioning,10,False,5,0.9133333333333334,0.9177777777777778,0.8617063492063493,0.8787952787952789
EqualDepthPartitioning,2,True,7,0.9266666666666666,0.9316666666666666,0.8672198275862067,0.8933817709256306
EqualDepthPartitioning,2,False,7,0.8999999999999999,0.9061948853615519,0.8301403531038712,0.85603809387419
EqualDepthPartitioning,5,True,7,0.9133333333333336,0.924112924112924,0.8457342657342657,0.8743384462862187
EqualDepthPartitioning,5,False,7,0.9000000000000002,0.9054571354571355,0.8201718651718652,0.8536725818464952
EqualDepthPartitioning,10,True,7,0.9133333333333336,0.9265873015873016,0.8468650793650795,0.8745467495467498
EqualDepthPartitioning,10,False,7,0.9133333333333334,0.9215079365079365,0.8439682539682539,0.8679986679986681
EqualDepthPartitioning,2,True,10,0.8733333333333332,0.8743073593073594,0.7878448275862069,0.8221648151769924
EqualDepthPartitioning,2,False,10,0.8733333333333334,0.8776660620738582,0.7895354203577427,0.8219654578596821
EqualDepthPartitioning,5,True,10,0.906666666666667,0.9146658896658896,0.8411738261738261,0.8671502176549963
EqualDepthPartitioning,5,False,10,0.9133333333333336,0.9151885151885152,0.8514063714063715,0.871564188432677
EqualDepthPartitioning,10,True,10,0.9200000000000003,0.9304761904761906,0.8580952380952384,0.8841919191919192
EqualDepthPartitioning,10,False,10,0.9266666666666669,0.9216666666666666,0.861851851851852,0.8784368735839325
