,typ,k_fold,Ilość kubełków,Dokładność,Precyzja,Czułość/Swoistość,F1
0,Brak dyskretyzacji,2,1.1e-06,0.9566666666666666,0.9562480112480112,0.9192521915631127,0.935888949267206
1,Brak dyskretyzacji,3,1.2e-06,0.9533333333333333,0.9539264828738514,0.9151821338255695,0.9307050115286494
2,Brak dyskretyzacji,5,1.2999999999999998e-06,0.9533333333333334,0.9556421356421356,0.9147848447848448,0.9309882146141402
3,Brak dyskretyzacji,10,1.3999999999999997e-06,0.9533333333333335,0.9511904761904761,0.9126587301587301,0.9235627189574559
4,Dyskretyzacja o stałej szerokości,2,5.0,0.8933333333333333,0.9075928411180604,0.8138908834572697,0.8450248608387474
5,Dyskretyzacja o stałej szerokości,2,6.0,0.7833333333333332,0.8012291120185857,0.6539887550308383,0.6994175593824897
6,Dyskretyzacja o stałej szerokości,3,5.0,0.78,0.7779837219788202,0.6349708632075595,0.6890346325052702
7,Dyskretyzacja o stałej szerokości,3,6.0,0.7466666666666666,0.7656433183777227,0.6002713228515681,0.6512730834865366
8,Dyskretyzacja o stałej szerokości,5,5.0,0.6933333333333331,0.6993177084353555,0.5293515299629851,0.5847748851646962
9,Dyskretyzacja o stałej szerokości,5,6.0,0.7100000000000002,0.7015229677729677,0.547387699446523,0.603091939770412
10,Dyskretyzacja o stałej szerokości,10,5.0,0.6800000000000002,0.6738955026455027,0.5174807599807599,0.6328948037113673
11,Dyskretyzacja o stałej szerokości,10,6.0,0.686666666666667,0.6880753968253968,0.5262657712657713,0.5885894171188288
12,Dyskretyzacja o stałej częstości,2,5.0,0.6799999999999999,0.6847964594529997,0.5079340878124998,0.5691279315183646
13,Dyskretyzacja o stałej częstości,2,6.0,0.6966666666666668,0.6919596738824804,0.5269887517969359,0.5904418546069108
14,Dyskretyzacja o stałej częstości,3,5.0,0.7000000000000001,0.69423801048515,0.5289702028964081,0.5908308195185958
15,Dyskretyzacja o stałej częstości,3,6.0,0.6666666666666667,0.6510030813562582,0.4870810402403933,0.5504305512975424
16,Dyskretyzacja o stałej częstości,5,5.0,0.6399999999999999,0.6471713471713473,0.47054029576088396,0.5276886938787239
17,Dyskretyzacja o stałej częstości,5,6.0,0.6566666666666665,0.6465798553298553,0.49086483777660245,0.546466917781026
18,Dyskretyzacja o stałej częstości,10,5.0,0.6533333333333334,0.6575793650793651,0.4934920634920634,0.5571719021719022
19,Dyskretyzacja o stałej częstości,10,6.0,0.7133333333333335,0.7165410052910053,0.5485960798460799,0.6371867838044307
