Model,k_fold,Stratyfikacja,Bins,Acc,Prec,Rec,Fsc
Gaussian,2,True,0,0.9095238095238095,0.9098179941833192,0.834856371698477,0.869832557067606
Gaussian,2,False,0,0.9,0.9031013400795614,0.8201766070187122,0.8567524468784775
Gaussian,5,True,0,0.9047619047619049,0.9116656491656492,0.830865234982882,0.8637816921640452
Gaussian,5,False,0,0.9047619047619049,0.9073124587830471,0.8338248461777875,0.8615111650583416
Gaussian,10,True,0,0.9000000000000002,0.9090608465608466,0.826283068783069,0.8585313869137399
Gaussian,10,False,0,0.9047619047619049,0.8845202020202021,0.8329557479557478,0.8421197625256045
KMeansPartitioning,2,True,5,0.8952380952380953,0.9010426392779335,0.817681623931624,0.8514832363235844
KMeansPartitioning,2,False,5,0.8952380952380953,0.8982335261447779,0.8101589038225637,0.8492131969528947
KMeansPartitioning,5,True,5,0.9000000000000002,0.908541371482548,0.8229100529100529,0.8570436504436156
KMeansPartitioning,5,False,5,0.8904761904761908,0.894285235461706,0.8127301728772317,0.8441646269516592
KMeansPartitioning,10,True,5,0.9000000000000002,0.9102332852332854,0.8251262626262627,0.8570876517703144
KMeansPartitioning,10,False,5,0.8904761904761908,0.8999206349206351,0.7999013949013949,0.8354133442523537
KMeansPartitioning,2,True,7,0.9,0.9013757283881123,0.820672361798806,0.8572864302433046
KMeansPartitioning,2,False,7,0.8857142857142858,0.8865803447456674,0.7968601835807213,0.8365729392689829
KMeansPartitioning,5,True,7,0.8904761904761908,0.8965771265771266,0.8049642079053843,0.8434494921851243
KMeansPartitioning,5,False,7,0.904761904761905,0.9032617491441021,0.8254984655294254,0.8577934666359714
KMeansPartitioning,10,True,7,0.8952380952380955,0.9030555555555557,0.8164021164021165,0.850838241279418
KMeansPartitioning,10,False,7,0.8904761904761908,0.8897871572871574,0.8114875864875868,0.8363002085060909
KMeansPartitioning,2,True,10,0.8952380952380953,0.897004497004497,0.8129426129426128,0.8506285982679173
KMeansPartitioning,2,False,10,0.8904761904761905,0.8946539476635236,0.804196202794014,0.8430216789378324
KMeansPartitioning,5,True,10,0.8952380952380955,0.898683353683354,0.8151268285091814,0.8511021260149921
KMeansPartitioning,5,False,10,0.8952380952380954,0.9006737357356551,0.8154730623693472,0.848006218805967
KMeansPartitioning,10,True,10,0.9000000000000002,0.9098544973544974,0.8294973544973546,0.8571266805090336
KMeansPartitioning,10,False,10,0.8904761904761908,0.8944925444925447,0.8082756132756133,0.8369480187775803
EqualWidthPartitioning,2,True,5,0.8761904761904762,0.881000913704402,0.7815934065934066,0.8242183723242361
EqualWidthPartitioning,2,False,5,0.8952380952380953,0.9048843769716387,0.8077396088682,0.8482411905052559
EqualWidthPartitioning,5,True,5,0.8904761904761908,0.8964536498360027,0.8097914721444133,0.8453554229521971
EqualWidthPartitioning,5,False,5,0.8952380952380954,0.9048245614035088,0.8030417200618438,0.842137291625495
EqualWidthPartitioning,10,True,5,0.885714285714286,0.8914021164021164,0.7998280423280425,0.8382074026191675
EqualWidthPartitioning,10,False,5,0.8857142857142859,0.8895899470899471,0.7944396344396345,0.8304103115093829
EqualWidthPartitioning,2,True,7,0.8809523809523809,0.8862846612846612,0.7905522246985662,0.8312513084664984
EqualWidthPartitioning,2,False,7,0.8809523809523809,0.8827664807887933,0.7874470206645695,0.830226215444303
EqualWidthPartitioning,5,True,7,0.885714285714286,0.891297112473583,0.7979039510541059,0.8362815781788496
EqualWidthPartitioning,5,False,7,0.885714285714286,0.8842358948241303,0.7975442726061921,0.83625374037961
EqualWidthPartitioning,10,True,7,0.8714285714285717,0.8897174122174122,0.7835473785473787,0.8177739907151674
EqualWidthPartitioning,10,False,7,0.9000000000000002,0.9022991822991824,0.8208261183261184,0.8462772914054122
EqualWidthPartitioning,2,True,10,0.8904761904761905,0.8926871039774266,0.8041218848664292,0.8434539740095296
EqualWidthPartitioning,2,False,10,0.8714285714285716,0.8748203580520655,0.7760900510900511,0.8178872456046369
EqualWidthPartitioning,5,True,10,0.8857142857142859,0.8903201537025068,0.7996350762527233,0.8381334210859392
EqualWidthPartitioning,5,False,10,0.8904761904761908,0.8946780996780997,0.8100997368644427,0.8446328836480858
EqualWidthPartitioning,10,True,10,0.8857142857142859,0.8982671957671957,0.8029232804232805,0.8378696956638135
EqualWidthPartitioning,10,False,10,0.8904761904761908,0.8878968253968255,0.8056132756132756,0.8369039377088913
EqualDepthPartitioning,2,True,5,0.8714285714285714,0.8735393965446089,0.7722915860110983,0.8174170357006177
EqualDepthPartitioning,2,False,5,0.8904761904761905,0.8943177638664453,0.8067524045784916,0.843421881264347
EqualDepthPartitioning,5,True,5,0.8857142857142859,0.887508635155694,0.7987371615312793,0.8378453886807612
EqualDepthPartitioning,5,False,5,0.8809523809523812,0.880762803587881,0.7919962715402882,0.8285868414574649
EqualDepthPartitioning,10,True,5,0.8904761904761908,0.9021957671957673,0.8078968253968255,0.843969989705284
EqualDepthPartitioning,10,False,5,0.8809523809523812,0.8854761904761905,0.7832003182003183,0.8195719060780982
EqualDepthPartitioning,2,True,7,0.8857142857142858,0.8874602929369663,0.7949851638876028,0.8367720043876786
EqualDepthPartitioning,2,False,7,0.8857142857142858,0.8856912897610573,0.7944139194139194,0.8347173667531592
EqualDepthPartitioning,5,True,7,0.8904761904761906,0.8945030895030897,0.8053633675692499,0.8439545173544825
EqualDepthPartitioning,5,False,7,0.8809523809523813,0.877881492146198,0.7838266834046886,0.8220297731052317
EqualDepthPartitioning,10,True,7,0.885714285714286,0.8964285714285716,0.7996957671957674,0.8370346429169963
EqualDepthPartitioning,10,False,7,0.8809523809523809,0.8796031746031745,0.791147186147186,0.8261335946973316
EqualDepthPartitioning,2,True,10,0.8952380952380952,0.8961775086775087,0.811463030622209,0.8501696599349181
EqualDepthPartitioning,2,False,10,0.880952380952381,0.8838468720821662,0.7878229201808663,0.8303478356361441
EqualDepthPartitioning,5,True,10,0.8857142857142859,0.8941045991045993,0.7945339246809835,0.8358491172578719
EqualDepthPartitioning,5,False,10,0.8904761904761905,0.8927482702482704,0.8048951298099906,0.8421365506702041
EqualDepthPartitioning,10,True,10,0.8904761904761908,0.8987433862433865,0.8095634920634922,0.8443077401900932
EqualDepthPartitioning,10,False,10,0.8857142857142858,0.8744300144300146,0.7956225256225257,0.8266941411415096
