Model,k_fold,Stratyfikacja,Bins,Acc,Prec,Rec,Fsc
Gaussian,2,True,0,0.9775280898876403,0.9772751322751323,0.9554113329919782,0.965972450282795
Gaussian,2,False,0,0.9662921348314607,0.9644457245263697,0.9333091074267545,0.9480731912508044
Gaussian,5,True,0,0.9719047619047619,0.9726118326118326,0.9482572982572983,0.9583268522249033
Gaussian,5,False,0,0.9774603174603175,0.9782051282051281,0.9566067919009096,0.9661800516570499
Gaussian,10,True,0,0.9774509803921565,0.9805555555555555,0.9576190476190477,0.9664439264439265
Gaussian,10,False,0,0.9777777777777777,0.975,0.9593518518518518,0.9654297880768469
KMeansPartitioning,2,True,5,0.9775280898876404,0.9784121621621621,0.9551036357043031,0.9661884417524647
KMeansPartitioning,2,False,5,0.9775280898876403,0.9759139784946237,0.9584545855379188,0.9660495339575036
KMeansPartitioning,5,True,5,0.9885714285714287,0.99,0.9766666666666667,0.9825876535416502
KMeansPartitioning,5,False,5,0.9828571428571429,0.9807977207977209,0.9683482258482259,0.9738685699636466
KMeansPartitioning,10,True,5,0.9774509803921568,0.9796428571428571,0.9585317460317461,0.9664439264439265
KMeansPartitioning,10,False,5,0.9777777777777779,0.9776455026455027,0.9578835978835979,0.9656345506345506
KMeansPartitioning,2,True,7,0.9775280898876403,0.9764267990074442,0.9579797517297518,0.9660709014788712
KMeansPartitioning,2,False,7,0.9719101123595505,0.9705018016421526,0.944820548208572,0.9572183435700294
KMeansPartitioning,5,True,7,0.9774603174603176,0.9784937284937284,0.9568487068487068,0.9666988566988567
KMeansPartitioning,5,False,7,0.9717460317460317,0.9689458689458691,0.9467333933123409,0.9549494168224819
KMeansPartitioning,10,True,7,0.9777777777777777,0.9801587301587301,0.9595238095238094,0.9678099678099679
KMeansPartitioning,10,False,7,0.9771241830065359,0.9746825396825397,0.9545226070226072,0.9605125158066337
KMeansPartitioning,2,True,10,0.9831460674157304,0.9824014336917563,0.9670899470899471,0.9744668130972988
KMeansPartitioning,2,False,10,0.9719101123595504,0.9688762626262627,0.946947004608295,0.9570028391399154
KMeansPartitioning,5,True,10,0.9777777777777777,0.9796536796536797,0.9582861582861583,0.9673049173049173
KMeansPartitioning,5,False,10,0.9776190476190476,0.9777777777777777,0.9547438672438672,0.9651658776590051
KMeansPartitioning,10,True,10,0.9830065359477124,0.9863095238095239,0.9671428571428572,0.9747267547267547
KMeansPartitioning,10,False,10,0.9777777777777779,0.9807407407407408,0.9551190476190476,0.9649028783394108
EqualWidthPartitioning,2,True,5,0.9606741573033708,0.9588823880806802,0.9266904242710693,0.9411870528985146
EqualWidthPartitioning,2,False,5,0.9662921348314605,0.9638744425960192,0.9347598617920614,0.9488666885156114
EqualWidthPartitioning,5,True,5,0.9773015873015873,0.9788111888111889,0.9553479853479855,0.9656376125498933
EqualWidthPartitioning,5,False,5,0.9831746031746031,0.9859432234432235,0.9624331224331225,0.9728691944427947
EqualWidthPartitioning,10,True,5,0.9777777777777776,0.981547619047619,0.9603968253968254,0.9674784474784476
EqualWidthPartitioning,10,False,5,0.9777777777777777,0.9785714285714285,0.953001443001443,0.9627714585609323
EqualWidthPartitioning,2,True,7,0.9606741573033708,0.9593115218115219,0.9239234921291373,0.9411798209735615
EqualWidthPartitioning,2,False,7,0.9606741573033708,0.9590390597768343,0.9254284842994521,0.9411623059316735
EqualWidthPartitioning,5,True,7,0.9776190476190476,0.9777000777000778,0.9576023976023976,0.9662603251423579
EqualWidthPartitioning,5,False,7,0.9773015873015873,0.9757094757094756,0.9554713804713804,0.9643519133309532
EqualWidthPartitioning,10,True,7,0.9774509803921568,0.9791666666666666,0.9586904761904762,0.9662367262367263
EqualWidthPartitioning,10,False,7,0.9771241830065358,0.975925925925926,0.9536375661375662,0.9606866336278103
EqualWidthPartitioning,2,True,10,0.9719101123595505,0.9717971693778146,0.9455874919584598,0.9579971198705025
EqualWidthPartitioning,2,False,10,0.9775280898876404,0.9754875140291807,0.9573277467187368,0.9661104116635224
EqualWidthPartitioning,5,True,10,0.9774603174603175,0.9783061383061383,0.9582373182373183,0.9662311782009302
EqualWidthPartitioning,5,False,10,0.9715873015873018,0.9686327561327561,0.944510342598578,0.9554617422234853
EqualWidthPartitioning,10,True,10,0.9771241830065359,0.9788492063492065,0.9573412698412699,0.9651785251785252
